0.0592796,49.8969,
0.0572727,49.8969,
0.0553173,49.7938,
0.0532075,49.7938,
0.0511492,49.5876,
0.0491938,50,
0.0471355,49.5876,
0.0451286,49.6907,
0.0431732,49.6907,
0.0411664,49.4845,
0.0391595,49.4845,
0.0373070,49.6907,
0.0355060,49.5876,
0.0338079,49.7938,
0.0320583,49.6907,
0.0304117,49.8969,
0.0286106,50,
0.0270154,50.2062,
0.0254717,50.2062,
0.0240823,50.1031,
0.0226930,49.7938,
0.0213551,49.1753,
0.0197599,47.9381,
0.0182161,46.0825,
0.0169297,44.0206,
0.0159005,41.6495,
0.0145626,39.1753,
0.0134820,36.5979,
0.0124014,34.0206,
0.0114751,31.4433,
0.0105489,28.5567,
0.00977702,25.9794,
0.00864494,23.2990,
0.00777015,20.5155,
0.00679245,17.9381,
0.00555746,14.8454,
0.00499142,13.0928,
0.00437393,11.0309,
0.00339623,8.24742,
0.00267581,5.15464,
0.00226415,3.50515,
0.00149228,1.44330,
